# Vollständige Liste: pro PLZ-2 und Rolle ein eigener Datensatz
# Bearbeitung: Name, Tel, Mail je Zeile anpassen
plz2,role,name,tel,mail
10,VAD,VAD Team PLZ 10,+49 30 10100 100,vad.plz10@firma.de
10,KAMLIGHT,KAMLIGHT Team PLZ 10,+49 30 10101 101,kamlight.plz10@firma.de
10,KAMHEAVY,KAMHEAVY Team PLZ 10,+49 30 10102 102,kamheavy.plz10@firma.de
11,VAD,VAD Team PLZ 11,+49 30 10110 100,vad.plz11@firma.de
11,KAMLIGHT,KAMLIGHT Team PLZ 11,+49 30 10111 101,kamlight.plz11@firma.de
11,KAMHEAVY,KAMHEAVY Team PLZ 11,+49 30 10112 102,kamheavy.plz11@firma.de
12,VAD,VAD Team PLZ 12,+49 30 10120 100,vad.plz12@firma.de
12,KAMLIGHT,KAMLIGHT Team PLZ 12,+49 30 10121 101,kamlight.plz12@firma.de
12,KAMHEAVY,KAMHEAVY Team PLZ 12,+49 30 10122 102,kamheavy.plz12@firma.de
13,VAD,VAD Team PLZ 13,+49 30 10130 100,vad.plz13@firma.de
13,KAMLIGHT,KAMLIGHT Team PLZ 13,+49 30 10131 101,kamlight.plz13@firma.de
13,KAMHEAVY,KAMHEAVY Team PLZ 13,+49 30 10132 102,kamheavy.plz13@firma.de
14,VAD,VAD Team PLZ 14,+49 30 10140 100,vad.plz14@firma.de
14,KAMLIGHT,KAMLIGHT Team PLZ 14,+49 30 10141 101,kamlight.plz14@firma.de
14,KAMHEAVY,KAMHEAVY Team PLZ 14,+49 30 10142 102,kamheavy.plz14@firma.de
15,VAD,VAD Team PLZ 15,+49 30 10150 100,vad.plz15@firma.de
15,KAMLIGHT,KAMLIGHT Team PLZ 15,+49 30 10151 101,kamlight.plz15@firma.de
15,KAMHEAVY,KAMHEAVY Team PLZ 15,+49 30 10152 102,kamheavy.plz15@firma.de
16,VAD,VAD Team PLZ 16,+49 30 10160 100,vad.plz16@firma.de
16,KAMLIGHT,KAMLIGHT Team PLZ 16,+49 30 10161 101,kamlight.plz16@firma.de
16,KAMHEAVY,KAMHEAVY Team PLZ 16,+49 30 10162 102,kamheavy.plz16@firma.de
17,VAD,VAD Team PLZ 17,+49 30 10170 100,vad.plz17@firma.de
17,KAMLIGHT,KAMLIGHT Team PLZ 17,+49 30 10171 101,kamlight.plz17@firma.de
17,KAMHEAVY,KAMHEAVY Team PLZ 17,+49 30 10172 102,kamheavy.plz17@firma.de
18,VAD,VAD Team PLZ 18,+49 30 10180 100,vad.plz18@firma.de
18,KAMLIGHT,KAMLIGHT Team PLZ 18,+49 30 10181 101,kamlight.plz18@firma.de
18,KAMHEAVY,KAMHEAVY Team PLZ 18,+49 30 10182 102,kamheavy.plz18@firma.de
19,VAD,VAD Team PLZ 19,+49 30 10190 100,vad.plz19@firma.de
19,KAMLIGHT,KAMLIGHT Team PLZ 19,+49 30 10191 101,kamlight.plz19@firma.de
19,KAMHEAVY,KAMHEAVY Team PLZ 19,+49 30 10192 102,kamheavy.plz19@firma.de
20,VAD,VAD Team PLZ 20,+49 30 10200 100,vad.plz20@firma.de
20,KAMLIGHT,KAMLIGHT Team PLZ 20,+49 30 10201 101,kamlight.plz20@firma.de
20,KAMHEAVY,KAMHEAVY Team PLZ 20,+49 30 10202 102,kamheavy.plz20@firma.de
21,VAD,VAD Team PLZ 21,+49 30 10210 100,vad.plz21@firma.de
21,KAMLIGHT,KAMLIGHT Team PLZ 21,+49 30 10211 101,kamlight.plz21@firma.de
21,KAMHEAVY,KAMHEAVY Team PLZ 21,+49 30 10212 102,kamheavy.plz21@firma.de
22,VAD,VAD Team PLZ 22,+49 30 10220 100,vad.plz22@firma.de
22,KAMLIGHT,KAMLIGHT Team PLZ 22,+49 30 10221 101,kamlight.plz22@firma.de
22,KAMHEAVY,KAMHEAVY Team PLZ 22,+49 30 10222 102,kamheavy.plz22@firma.de
23,VAD,VAD Team PLZ 23,+49 30 10230 100,vad.plz23@firma.de
23,KAMLIGHT,KAMLIGHT Team PLZ 23,+49 30 10231 101,kamlight.plz23@firma.de
23,KAMHEAVY,KAMHEAVY Team PLZ 23,+49 30 10232 102,kamheavy.plz23@firma.de
24,VAD,VAD Team PLZ 24,+49 30 10240 100,vad.plz24@firma.de
24,KAMLIGHT,KAMLIGHT Team PLZ 24,+49 30 10241 101,kamlight.plz24@firma.de
24,KAMHEAVY,KAMHEAVY Team PLZ 24,+49 30 10242 102,kamheavy.plz24@firma.de
25,VAD,VAD Team PLZ 25,+49 30 10250 100,vad.plz25@firma.de
25,KAMLIGHT,KAMLIGHT Team PLZ 25,+49 30 10251 101,kamlight.plz25@firma.de
25,KAMHEAVY,KAMHEAVY Team PLZ 25,+49 30 10252 102,kamheavy.plz25@firma.de
26,VAD,VAD Team PLZ 26,+49 30 10260 100,vad.plz26@firma.de
26,KAMLIGHT,KAMLIGHT Team PLZ 26,+49 30 10261 101,kamlight.plz26@firma.de
26,KAMHEAVY,KAMHEAVY Team PLZ 26,+49 30 10262 102,kamheavy.plz26@firma.de
27,VAD,VAD Team PLZ 27,+49 30 10270 100,vad.plz27@firma.de
27,KAMLIGHT,KAMLIGHT Team PLZ 27,+49 30 10271 101,kamlight.plz27@firma.de
27,KAMHEAVY,KAMHEAVY Team PLZ 27,+49 30 10272 102,kamheavy.plz27@firma.de
28,VAD,VAD Team PLZ 28,+49 30 10280 100,vad.plz28@firma.de
28,KAMLIGHT,KAMLIGHT Team PLZ 28,+49 30 10281 101,kamlight.plz28@firma.de
28,KAMHEAVY,KAMHEAVY Team PLZ 28,+49 30 10282 102,kamheavy.plz28@firma.de
29,VAD,VAD Team PLZ 29,+49 30 10290 100,vad.plz29@firma.de
29,KAMLIGHT,KAMLIGHT Team PLZ 29,+49 30 10291 101,kamlight.plz29@firma.de
29,KAMHEAVY,KAMHEAVY Team PLZ 29,+49 30 10292 102,kamheavy.plz29@firma.de
30,VAD,VAD Team PLZ 30,+49 30 10300 100,vad.plz30@firma.de
30,KAMLIGHT,KAMLIGHT Team PLZ 30,+49 30 10301 101,kamlight.plz30@firma.de
30,KAMHEAVY,KAMHEAVY Team PLZ 30,+49 30 10302 102,kamheavy.plz30@firma.de
31,VAD,VAD Team PLZ 31,+49 30 10310 100,vad.plz31@firma.de
31,KAMLIGHT,KAMLIGHT Team PLZ 31,+49 30 10311 101,kamlight.plz31@firma.de
31,KAMHEAVY,KAMHEAVY Team PLZ 31,+49 30 10312 102,kamheavy.plz31@firma.de
32,VAD,VAD Team PLZ 32,+49 30 10320 100,vad.plz32@firma.de
32,KAMLIGHT,KAMLIGHT Team PLZ 32,+49 30 10321 101,kamlight.plz32@firma.de
32,KAMHEAVY,KAMHEAVY Team PLZ 32,+49 30 10322 102,kamheavy.plz32@firma.de
33,VAD,VAD Team PLZ 33,+49 30 10330 100,vad.plz33@firma.de
33,KAMLIGHT,KAMLIGHT Team PLZ 33,+49 30 10331 101,kamlight.plz33@firma.de
33,KAMHEAVY,KAMHEAVY Team PLZ 33,+49 30 10332 102,kamheavy.plz33@firma.de
34,VAD,VAD Team PLZ 34,+49 30 10340 100,vad.plz34@firma.de
34,KAMLIGHT,KAMLIGHT Team PLZ 34,+49 30 10341 101,kamlight.plz34@firma.de
34,KAMHEAVY,KAMHEAVY Team PLZ 34,+49 30 10342 102,kamheavy.plz34@firma.de
35,VAD,VAD Team PLZ 35,+49 30 10350 100,vad.plz35@firma.de
35,KAMLIGHT,KAMLIGHT Team PLZ 35,+49 30 10351 101,kamlight.plz35@firma.de
35,KAMHEAVY,KAMHEAVY Team PLZ 35,+49 30 10352 102,kamheavy.plz35@firma.de
36,VAD,VAD Team PLZ 36,+49 30 10360 100,vad.plz36@firma.de
36,KAMLIGHT,KAMLIGHT Team PLZ 36,+49 30 10361 101,kamlight.plz36@firma.de
36,KAMHEAVY,KAMHEAVY Team PLZ 36,+49 30 10362 102,kamheavy.plz36@firma.de
37,VAD,VAD Team PLZ 37,+49 30 10370 100,vad.plz37@firma.de
37,KAMLIGHT,KAMLIGHT Team PLZ 37,+49 30 10371 101,kamlight.plz37@firma.de
37,KAMHEAVY,KAMHEAVY Team PLZ 37,+49 30 10372 102,kamheavy.plz37@firma.de
38,VAD,VAD Team PLZ 38,+49 30 10380 100,vad.plz38@firma.de
38,KAMLIGHT,KAMLIGHT Team PLZ 38,+49 30 10381 101,kamlight.plz38@firma.de
38,KAMHEAVY,KAMHEAVY Team PLZ 38,+49 30 10382 102,kamheavy.plz38@firma.de
39,VAD,VAD Team PLZ 39,+49 30 10390 100,vad.plz39@firma.de
39,KAMLIGHT,KAMLIGHT Team PLZ 39,+49 30 10391 101,kamlight.plz39@firma.de
39,KAMHEAVY,KAMHEAVY Team PLZ 39,+49 30 10392 102,kamheavy.plz39@firma.de
40,VAD,VAD Team PLZ 40,+49 30 10400 100,vad.plz40@firma.de
40,KAMLIGHT,KAMLIGHT Team PLZ 40,+49 30 10401 101,kamlight.plz40@firma.de
40,KAMHEAVY,KAMHEAVY Team PLZ 40,+49 30 10402 102,kamheavy.plz40@firma.de
41,VAD,VAD Team PLZ 41,+49 30 10410 100,vad.plz41@firma.de
41,KAMLIGHT,KAMLIGHT Team PLZ 41,+49 30 10411 101,kamlight.plz41@firma.de
41,KAMHEAVY,KAMHEAVY Team PLZ 41,+49 30 10412 102,kamheavy.plz41@firma.de
42,VAD,VAD Team PLZ 42,+49 30 10420 100,vad.plz42@firma.de
42,KAMLIGHT,KAMLIGHT Team PLZ 42,+49 30 10421 101,kamlight.plz42@firma.de
42,KAMHEAVY,KAMHEAVY Team PLZ 42,+49 30 10422 102,kamheavy.plz42@firma.de
43,VAD,VAD Team PLZ 43,+49 30 10430 100,vad.plz43@firma.de
43,KAMLIGHT,KAMLIGHT Team PLZ 43,+49 30 10431 101,kamlight.plz43@firma.de
43,KAMHEAVY,KAMHEAVY Team PLZ 43,+49 30 10432 102,kamheavy.plz43@firma.de
44,VAD,VAD Team PLZ 44,+49 30 10440 100,vad.plz44@firma.de
44,KAMLIGHT,KAMLIGHT Team PLZ 44,+49 30 10441 101,kamlight.plz44@firma.de
44,KAMHEAVY,KAMHEAVY Team PLZ 44,+49 30 10442 102,kamheavy.plz44@firma.de
45,VAD,VAD Team PLZ 45,+49 30 10450 100,vad.plz45@firma.de
45,KAMLIGHT,KAMLIGHT Team PLZ 45,+49 30 10451 101,kamlight.plz45@firma.de
45,KAMHEAVY,KAMHEAVY Team PLZ 45,+49 30 10452 102,kamheavy.plz45@firma.de
46,VAD,VAD Team PLZ 46,+49 30 10460 100,vad.plz46@firma.de
46,KAMLIGHT,KAMLIGHT Team PLZ 46,+49 30 10461 101,kamlight.plz46@firma.de
46,KAMHEAVY,KAMHEAVY Team PLZ 46,+49 30 10462 102,kamheavy.plz46@firma.de
47,VAD,VAD Team PLZ 47,+49 30 10470 100,vad.plz47@firma.de
47,KAMLIGHT,KAMLIGHT Team PLZ 47,+49 30 10471 101,kamlight.plz47@firma.de
47,KAMHEAVY,KAMHEAVY Team PLZ 47,+49 30 10472 102,kamheavy.plz47@firma.de
48,VAD,VAD Team PLZ 48,+49 30 10480 100,vad.plz48@firma.de
48,KAMLIGHT,KAMLIGHT Team PLZ 48,+49 30 10481 101,kamlight.plz48@firma.de
48,KAMHEAVY,KAMHEAVY Team PLZ 48,+49 30 10482 102,kamheavy.plz48@firma.de
49,VAD,VAD Team PLZ 49,+49 30 10490 100,vad.plz49@firma.de
49,KAMLIGHT,KAMLIGHT Team PLZ 49,+49 30 10491 101,kamlight.plz49@firma.de
49,KAMHEAVY,KAMHEAVY Team PLZ 49,+49 30 10492 102,kamheavy.plz49@firma.de
50,VAD,VAD Team PLZ 50,+49 30 10500 100,vad.plz50@firma.de
50,KAMLIGHT,KAMLIGHT Team PLZ 50,+49 30 10501 101,kamlight.plz50@firma.de
50,KAMHEAVY,KAMHEAVY Team PLZ 50,+49 30 10502 102,kamheavy.plz50@firma.de
51,VAD,VAD Team PLZ 51,+49 30 10510 100,vad.plz51@firma.de
51,KAMLIGHT,KAMLIGHT Team PLZ 51,+49 30 10511 101,kamlight.plz51@firma.de
51,KAMHEAVY,KAMHEAVY Team PLZ 51,+49 30 10512 102,kamheavy.plz51@firma.de
52,VAD,VAD Team PLZ 52,+49 30 10520 100,vad.plz52@firma.de
52,KAMLIGHT,KAMLIGHT Team PLZ 52,+49 30 10521 101,kamlight.plz52@firma.de
52,KAMHEAVY,KAMHEAVY Team PLZ 52,+49 30 10522 102,kamheavy.plz52@firma.de
53,VAD,VAD Team PLZ 53,+49 30 10530 100,vad.plz53@firma.de
53,KAMLIGHT,KAMLIGHT Team PLZ 53,+49 30 10531 101,kamlight.plz53@firma.de
53,KAMHEAVY,KAMHEAVY Team PLZ 53,+49 30 10532 102,kamheavy.plz53@firma.de
54,VAD,VAD Team PLZ 54,+49 30 10540 100,vad.plz54@firma.de
54,KAMLIGHT,KAMLIGHT Team PLZ 54,+49 30 10541 101,kamlight.plz54@firma.de
54,KAMHEAVY,KAMHEAVY Team PLZ 54,+49 30 10542 102,kamheavy.plz54@firma.de
55,VAD,VAD Team PLZ 55,+49 30 10550 100,vad.plz55@firma.de
55,KAMLIGHT,KAMLIGHT Team PLZ 55,+49 30 10551 101,kamlight.plz55@firma.de
55,KAMHEAVY,KAMHEAVY Team PLZ 55,+49 30 10552 102,kamheavy.plz55@firma.de
56,VAD,VAD Team PLZ 56,+49 30 10560 100,vad.plz56@firma.de
56,KAMLIGHT,KAMLIGHT Team PLZ 56,+49 30 10561 101,kamlight.plz56@firma.de
56,KAMHEAVY,KAMHEAVY Team PLZ 56,+49 30 10562 102,kamheavy.plz56@firma.de
57,VAD,VAD Team PLZ 57,+49 30 10570 100,vad.plz57@firma.de
57,KAMLIGHT,KAMLIGHT Team PLZ 57,+49 30 10571 101,kamlight.plz57@firma.de
57,KAMHEAVY,KAMHEAVY Team PLZ 57,+49 30 10572 102,kamheavy.plz57@firma.de
58,VAD,VAD Team PLZ 58,+49 30 10580 100,vad.plz58@firma.de
58,KAMLIGHT,KAMLIGHT Team PLZ 58,+49 30 10581 101,kamlight.plz58@firma.de
58,KAMHEAVY,KAMHEAVY Team PLZ 58,+49 30 10582 102,kamheavy.plz58@firma.de
59,VAD,VAD Team PLZ 59,+49 30 10590 100,vad.plz59@firma.de
59,KAMLIGHT,KAMLIGHT Team PLZ 59,+49 30 10591 101,kamlight.plz59@firma.de
59,KAMHEAVY,KAMHEAVY Team PLZ 59,+49 30 10592 102,kamheavy.plz59@firma.de
60,VAD,VAD Team PLZ 60,+49 30 10600 100,vad.plz60@firma.de
60,KAMLIGHT,KAMLIGHT Team PLZ 60,+49 30 10601 101,kamlight.plz60@firma.de
60,KAMHEAVY,KAMHEAVY Team PLZ 60,+49 30 10602 102,kamheavy.plz60@firma.de
61,VAD,VAD Team PLZ 61,+49 30 10610 100,vad.plz61@firma.de
61,KAMLIGHT,KAMLIGHT Team PLZ 61,+49 30 10611 101,kamlight.plz61@firma.de
61,KAMHEAVY,KAMHEAVY Team PLZ 61,+49 30 10612 102,kamheavy.plz61@firma.de
62,VAD,VAD Team PLZ 62,+49 30 10620 100,vad.plz62@firma.de
62,KAMLIGHT,KAMLIGHT Team PLZ 62,+49 30 10621 101,kamlight.plz62@firma.de
62,KAMHEAVY,KAMHEAVY Team PLZ 62,+49 30 10622 102,kamheavy.plz62@firma.de
63,VAD,VAD Team PLZ 63,+49 30 10630 100,vad.plz63@firma.de
63,KAMLIGHT,KAMLIGHT Team PLZ 63,+49 30 10631 101,kamlight.plz63@firma.de
63,KAMHEAVY,KAMHEAVY Team PLZ 63,+49 30 10632 102,kamheavy.plz63@firma.de
64,VAD,VAD Team PLZ 64,+49 30 10640 100,vad.plz64@firma.de
64,KAMLIGHT,KAMLIGHT Team PLZ 64,+49 30 10641 101,kamlight.plz64@firma.de
64,KAMHEAVY,KAMHEAVY Team PLZ 64,+49 30 10642 102,kamheavy.plz64@firma.de
65,VAD,VAD Team PLZ 65,+49 30 10650 100,vad.plz65@firma.de
65,KAMLIGHT,KAMLIGHT Team PLZ 65,+49 30 10651 101,kamlight.plz65@firma.de
65,KAMHEAVY,KAMHEAVY Team PLZ 65,+49 30 10652 102,kamheavy.plz65@firma.de
66,VAD,VAD Team PLZ 66,+49 30 10660 100,vad.plz66@firma.de
66,KAMLIGHT,KAMLIGHT Team PLZ 66,+49 30 10661 101,kamlight.plz66@firma.de
66,KAMHEAVY,KAMHEAVY Team PLZ 66,+49 30 10662 102,kamheavy.plz66@firma.de
67,VAD,VAD Team PLZ 67,+49 30 10670 100,vad.plz67@firma.de
67,KAMLIGHT,KAMLIGHT Team PLZ 67,+49 30 10671 101,kamlight.plz67@firma.de
67,KAMHEAVY,KAMHEAVY Team PLZ 67,+49 30 10672 102,kamheavy.plz67@firma.de
68,VAD,VAD Team PLZ 68,+49 30 10680 100,vad.plz68@firma.de
68,KAMLIGHT,KAMLIGHT Team PLZ 68,+49 30 10681 101,kamlight.plz68@firma.de
68,KAMHEAVY,KAMHEAVY Team PLZ 68,+49 30 10682 102,kamheavy.plz68@firma.de
69,VAD,VAD Team PLZ 69,+49 30 10690 100,vad.plz69@firma.de
69,KAMLIGHT,KAMLIGHT Team PLZ 69,+49 30 10691 101,kamlight.plz69@firma.de
69,KAMHEAVY,KAMHEAVY Team PLZ 69,+49 30 10692 102,kamheavy.plz69@firma.de
70,VAD,VAD Team PLZ 70,+49 30 10700 100,vad.plz70@firma.de
70,KAMLIGHT,KAMLIGHT Team PLZ 70,+49 30 10701 101,kamlight.plz70@firma.de
70,KAMHEAVY,KAMHEAVY Team PLZ 70,+49 30 10702 102,kamheavy.plz70@firma.de
71,VAD,VAD Team PLZ 71,+49 30 10710 100,vad.plz71@firma.de
71,KAMLIGHT,KAMLIGHT Team PLZ 71,+49 30 10711 101,kamlight.plz71@firma.de
71,KAMHEAVY,KAMHEAVY Team PLZ 71,+49 30 10712 102,kamheavy.plz71@firma.de
72,VAD,VAD Team PLZ 72,+49 30 10720 100,vad.plz72@firma.de
72,KAMLIGHT,KAMLIGHT Team PLZ 72,+49 30 10721 101,kamlight.plz72@firma.de
72,KAMHEAVY,KAMHEAVY Team PLZ 72,+49 30 10722 102,kamheavy.plz72@firma.de
73,VAD,VAD Team PLZ 73,+49 30 10730 100,vad.plz73@firma.de
73,KAMLIGHT,KAMLIGHT Team PLZ 73,+49 30 10731 101,kamlight.plz73@firma.de
73,KAMHEAVY,KAMHEAVY Team PLZ 73,+49 30 10732 102,kamheavy.plz73@firma.de
74,VAD,VAD Team PLZ 74,+49 30 10740 100,vad.plz74@firma.de
74,KAMLIGHT,KAMLIGHT Team PLZ 74,+49 30 10741 101,kamlight.plz74@firma.de
74,KAMHEAVY,KAMHEAVY Team PLZ 74,+49 30 10742 102,kamheavy.plz74@firma.de
75,VAD,VAD Team PLZ 75,+49 30 10750 100,vad.plz75@firma.de
75,KAMLIGHT,KAMLIGHT Team PLZ 75,+49 30 10751 101,kamlight.plz75@firma.de
75,KAMHEAVY,KAMHEAVY Team PLZ 75,+49 30 10752 102,kamheavy.plz75@firma.de
76,VAD,VAD Team PLZ 76,+49 30 10760 100,vad.plz76@firma.de
76,KAMLIGHT,KAMLIGHT Team PLZ 76,+49 30 10761 101,kamlight.plz76@firma.de
76,KAMHEAVY,KAMHEAVY Team PLZ 76,+49 30 10762 102,kamheavy.plz76@firma.de
77,VAD,VAD Team PLZ 77,+49 30 10770 100,vad.plz77@firma.de
77,KAMLIGHT,KAMLIGHT Team PLZ 77,+49 30 10771 101,kamlight.plz77@firma.de
77,KAMHEAVY,KAMHEAVY Team PLZ 77,+49 30 10772 102,kamheavy.plz77@firma.de
78,VAD,VAD Team PLZ 78,+49 30 10780 100,vad.plz78@firma.de
78,KAMLIGHT,KAMLIGHT Team PLZ 78,+49 30 10781 101,kamlight.plz78@firma.de
78,KAMHEAVY,KAMHEAVY Team PLZ 78,+49 30 10782 102,kamheavy.plz78@firma.de
79,VAD,VAD Team PLZ 79,+49 30 10790 100,vad.plz79@firma.de
79,KAMLIGHT,KAMLIGHT Team PLZ 79,+49 30 10791 101,kamlight.plz79@firma.de
79,KAMHEAVY,KAMHEAVY Team PLZ 79,+49 30 10792 102,kamheavy.plz79@firma.de
80,VAD,VAD Team PLZ 80,+49 30 10800 100,vad.plz80@firma.de
80,KAMLIGHT,KAMLIGHT Team PLZ 80,+49 30 10801 101,kamlight.plz80@firma.de
80,KAMHEAVY,KAMHEAVY Team PLZ 80,+49 30 10802 102,kamheavy.plz80@firma.de
81,VAD,VAD Team PLZ 81,+49 30 10810 100,vad.plz81@firma.de
81,KAMLIGHT,KAMLIGHT Team PLZ 81,+49 30 10811 101,kamlight.plz81@firma.de
81,KAMHEAVY,KAMHEAVY Team PLZ 81,+49 30 10812 102,kamheavy.plz81@firma.de
82,VAD,VAD Team PLZ 82,+49 30 10820 100,vad.plz82@firma.de
82,KAMLIGHT,KAMLIGHT Team PLZ 82,+49 30 10821 101,kamlight.plz82@firma.de
82,KAMHEAVY,KAMHEAVY Team PLZ 82,+49 30 10822 102,kamheavy.plz82@firma.de
83,VAD,VAD Team PLZ 83,+49 30 10830 100,vad.plz83@firma.de
83,KAMLIGHT,KAMLIGHT Team PLZ 83,+49 30 10831 101,kamlight.plz83@firma.de
83,KAMHEAVY,KAMHEAVY Team PLZ 83,+49 30 10832 102,kamheavy.plz83@firma.de
84,VAD,VAD Team PLZ 84,+49 30 10840 100,vad.plz84@firma.de
84,KAMLIGHT,KAMLIGHT Team PLZ 84,+49 30 10841 101,kamlight.plz84@firma.de
84,KAMHEAVY,KAMHEAVY Team PLZ 84,+49 30 10842 102,kamheavy.plz84@firma.de
85,VAD,VAD Team PLZ 85,+49 30 10850 100,vad.plz85@firma.de
85,KAMLIGHT,KAMLIGHT Team PLZ 85,+49 30 10851 101,kamlight.plz85@firma.de
85,KAMHEAVY,KAMHEAVY Team PLZ 85,+49 30 10852 102,kamheavy.plz85@firma.de
86,VAD,VAD Team PLZ 86,+49 30 10860 100,vad.plz86@firma.de
86,KAMLIGHT,KAMLIGHT Team PLZ 86,+49 30 10861 101,kamlight.plz86@firma.de
86,KAMHEAVY,KAMHEAVY Team PLZ 86,+49 30 10862 102,kamheavy.plz86@firma.de
87,VAD,VAD Team PLZ 87,+49 30 10870 100,vad.plz87@firma.de
87,KAMLIGHT,KAMLIGHT Team PLZ 87,+49 30 10871 101,kamlight.plz87@firma.de
87,KAMHEAVY,KAMHEAVY Team PLZ 87,+49 30 10872 102,kamheavy.plz87@firma.de
88,VAD,VAD Team PLZ 88,+49 30 10880 100,vad.plz88@firma.de
88,KAMLIGHT,KAMLIGHT Team PLZ 88,+49 30 10881 101,kamlight.plz88@firma.de
88,KAMHEAVY,KAMHEAVY Team PLZ 88,+49 30 10882 102,kamheavy.plz88@firma.de
89,VAD,VAD Team PLZ 89,+49 30 10890 100,vad.plz89@firma.de
89,KAMLIGHT,KAMLIGHT Team PLZ 89,+49 30 10891 101,kamlight.plz89@firma.de
89,KAMHEAVY,KAMHEAVY Team PLZ 89,+49 30 10892 102,kamheavy.plz89@firma.de
90,VAD,VAD Team PLZ 90,+49 30 10900 100,vad.plz90@firma.de
90,KAMLIGHT,KAMLIGHT Team PLZ 90,+49 30 10901 101,kamlight.plz90@firma.de
90,KAMHEAVY,KAMHEAVY Team PLZ 90,+49 30 10902 102,kamheavy.plz90@firma.de
91,VAD,VAD Team PLZ 91,+49 30 10910 100,vad.plz91@firma.de
91,KAMLIGHT,KAMLIGHT Team PLZ 91,+49 30 10911 101,kamlight.plz91@firma.de
91,KAMHEAVY,KAMHEAVY Team PLZ 91,+49 30 10912 102,kamheavy.plz91@firma.de
92,VAD,VAD Team PLZ 92,+49 30 10920 100,vad.plz92@firma.de
92,KAMLIGHT,KAMLIGHT Team PLZ 92,+49 30 10921 101,kamlight.plz92@firma.de
92,KAMHEAVY,KAMHEAVY Team PLZ 92,+49 30 10922 102,kamheavy.plz92@firma.de
93,VAD,VAD Team PLZ 93,+49 30 10930 100,vad.plz93@firma.de
93,KAMLIGHT,KAMLIGHT Team PLZ 93,+49 30 10931 101,kamlight.plz93@firma.de
93,KAMHEAVY,KAMHEAVY Team PLZ 93,+49 30 10932 102,kamheavy.plz93@firma.de
94,VAD,VAD Team PLZ 94,+49 30 10940 100,vad.plz94@firma.de
94,KAMLIGHT,KAMLIGHT Team PLZ 94,+49 30 10941 101,kamlight.plz94@firma.de
94,KAMHEAVY,KAMHEAVY Team PLZ 94,+49 30 10942 102,kamheavy.plz94@firma.de
95,VAD,VAD Team PLZ 95,+49 30 10950 100,vad.plz95@firma.de
